date,region,city,crime_type,latitude,longitude,severity
2023-01-01,Алматинская область,Талдыкорган,Разбой,43.2504,76.8752,4
2023-01-01,Карагандинская область,Караганда,Кража,49.8206,73.081,1
2023-01-01,Алматы,Алматы,Вымогательство,43.2699,76.937,3
2023-01-01,Восточно-Казахстанская область,Усть-Каменогорск,Кража,49.9188,82.6838,2
2023-01-01,Алматинская область,Талдыкорган,Кража,43.3122,76.782,2
2023-01-02,Туркестанская область,Туркестан,Кража,43.3925,68.2314,1
2023-01-02,Акмолинская область,Кокшетау,Кража,51.2158,71.4035,1
2023-01-02,Павлодарская область,Павлодар,Кража,52.3814,76.9083,2
2023-01-02,Астана,Астана,Грабёж,51.1889,71.4457,3
2023-01-03,Астана,Астана,Кража,51.1069,71.3772,2
2023-01-04,Туркестанская область,Туркестан,Мошенничество,43.2325,68.3125,3
2023-01-04,Западно-Казахстанская область,Уральск,Разбой,51.2068,51.4632,4
2023-01-04,Актюбинская область,Актобе,Грабёж,50.3135,57.085,2
2023-01-04,Шымкент,Шымкент,Изнасилование,42.3749,69.5684,4
2023-01-05,Северо-Казахстанская область,Петропавловск,Кража,54.8826,69.2457,2
2023-01-05,Мангистауская область,Актау,Кража,43.6493,51.2032,2
2023-01-06,Павлодарская область,Павлодар,Разбой,52.3038,77.0345,3
2023-01-06,Астана,Астана,Кража,51.1546,71.5004,2
2023-01-07,Алматы,Алматы,Кража,43.2701,76.926,1
2023-01-07,Актюбинская область,Актобе,Грабёж,50.2863,57.1428,3
2023-01-07,Павлодарская область,Павлодар,Грабёж,52.3477,76.8986,2
2023-01-07,Атырауская область,Атырау,Кража,47.1516,51.85,1
2023-01-08,Шымкент,Шымкент,Мошенничество,42.362,69.6778,3
2023-01-08,Астана,Астана,Грабёж,51.1328,71.4506,3
2023-01-08,Астана,Астана,Кража,51.1303,71.5009,2
2023-01-08,Жамбылская область,Тараз,Кража,42.948,71.4367,2
2023-01-08,Алматинская область,Талдыкорган,Кража,43.1661,76.8618,2
2023-01-08,Астана,Астана,Мошенничество,51.1469,71.3686,2
2023-01-08,Алматы,Алматы,Кража,43.265,76.7956,2
2023-01-09,Алматы,Алматы,Убийство,43.233,76.9177,5
2023-01-09,Восточно-Казахстанская область,Усть-Каменогорск,Грабёж,49.8798,82.5716,2
2023-01-09,Павлодарская область,Павлодар,Кража,52.3206,76.8806,2
2023-01-09,Туркестанская область,Туркестан,Мошенничество,43.3575,68.2101,3
2023-01-09,Шымкент,Шымкент,Кража,42.2455,69.5144,1
2023-01-09,Туркестанская область,Туркестан,Кража,43.2061,68.3189,1
2023-01-10,Карагандинская область,Караганда,Разбой,49.7606,73.1565,4
2023-01-10,Астана,Астана,Кража,51.1934,71.5312,1
2023-01-10,Астана,Астана,Кража,51.0824,71.3926,2
2023-01-10,Алматинская область,Талдыкорган,Разбой,43.2831,76.8924,4
2023-01-10,Алматинская область,Талдыкорган,Грабёж,43.1401,76.8098,3
2023-01-11,Жамбылская область,Тараз,Кража,42.9661,71.4391,1
2023-01-11,Алматинская область,Талдыкорган,Кража,43.1773,76.805,2
2023-01-12,Шымкент,Шымкент,Кража,42.3329,69.5694,2
2023-01-12,Шымкент,Шымкент,Кража,42.3161,69.6237,1
2023-01-12,Астана,Астана,Кража,51.1023,71.5317,1
2023-01-13,Карагандинская область,Караганда,Грабёж,49.837,73.0934,3
2023-01-13,Алматы,Алматы,Грабёж,43.2949,76.7552,2
2023-01-13,Актюбинская область,Актобе,Мошенничество,50.3197,57.1377,2
2023-01-13,Карагандинская область,Караганда,Грабёж,49.8432,73.0225,3
2023-01-13,Астана,Астана,Грабёж,51.1172,71.4373,2
2023-01-13,Северо-Казахстанская область,Петропавловск,Мошенничество,54.8211,69.0508,2
2023-01-14,Алматы,Алматы,Кража,43.2999,76.9224,1
2023-01-14,Шымкент,Шымкент,Кража,42.4379,69.5944,1
2023-01-14,Кызылординская область,Кызылорда,Кража,44.914,65.4186,1
2023-01-14,Астана,Астана,Мошенничество,51.1812,71.5411,2
2023-01-14,Карагандинская область,Караганда,Кража,49.739,73.0467,1
2023-01-15,Астана,Астана,Грабёж,51.0734,71.3513,3
2023-01-15,Астана,Астана,Кража,51.1896,71.5052,1
2023-01-16,Шымкент,Шымкент,Кража,42.3722,69.5047,1
2023-01-16,Алматинская область,Талдыкорган,Убийство,43.2213,76.8793,5
2023-01-16,Алматы,Алматы,Кража,43.2596,76.9237,1
2023-01-16,Северо-Казахстанская область,Петропавловск,Разбой,54.8963,69.0953,3
2023-01-17,Астана,Астана,Разбой,51.1173,71.4806,3
2023-01-17,Мангистауская область,Актау,Другое,43.5812,51.1887,1
2023-01-17,Шымкент,Шымкент,Кража,42.406,69.6684,1
2023-01-18,Шымкент,Шымкент,Кража,42.2549,69.515,2
2023-01-19,Атырауская область,Атырау,Грабёж,47.0557,51.8276,2
2023-01-19,Алматинская область,Талдыкорган,Грабёж,43.1828,76.9213,2
2023-01-19,Астана,Астана,Мошенничество,51.0852,71.5129,3
2023-01-19,Западно-Казахстанская область,Уральск,Грабёж,51.2222,51.4067,2
2023-01-19,Алматы,Алматы,Грабёж,43.2658,76.7567,3
2023-01-19,Северо-Казахстанская область,Петропавловск,Грабёж,54.8401,69.0678,2
2023-01-20,Астана,Астана,Кража,51.2231,71.3494,1
2023-01-20,Жамбылская область,Тараз,Грабёж,42.8554,71.2943,3
2023-01-20,Астана,Астана,Кража,51.1255,71.3953,2
2023-01-21,Карагандинская область,Караганда,Кража,49.8502,73.1836,1
2023-01-21,Туркестанская область,Туркестан,Грабёж,43.2117,68.159,3
2023-01-21,Восточно-Казахстанская область,Усть-Каменогорск,Кража,49.9512,82.6814,1
2023-01-21,Карагандинская область,Караганда,Кража,49.89,73.1116,1
2023-01-22,Шымкент,Шымкент,Мошенничество,42.3818,69.5399,3
2023-01-22,Алматы,Алматы,Кража,43.2052,76.9439,1
2023-01-23,Алматы,Алматы,Кража,43.1392,76.8736,2
2023-01-23,Актюбинская область,Актобе,Грабёж,50.3415,57.2103,2
2023-01-23,Шымкент,Шымкент,Грабёж,42.4387,69.5805,2
2023-01-23,Карагандинская область,Караганда,Кража,49.8334,73.1164,1
2023-01-24,Костанайская область,Костанай,Грабёж,53.2747,63.6775,3
2023-01-25,Восточно-Казахстанская область,Усть-Каменогорск,Кража,49.9807,82.5863,2
2023-01-25,Атырауская область,Атырау,Разбой,47.0289,51.9373,3
2023-01-25,Алматы,Алматы,Кража,43.1494,76.8939,2
2023-01-25,Акмолинская область,Кокшетау,Кража,51.097,71.5091,2
2023-01-25,Костанайская область,Костанай,Кража,53.2903,63.6588,1
2023-01-25,Актюбинская область,Актобе,Другое,50.251,57.1569,2
2023-01-25,Акмолинская область,Кокшетау,Кража,51.0989,71.3857,2
2023-01-25,Алматы,Алматы,Кража,43.2033,76.9149,2
2023-01-26,Туркестанская область,Туркестан,Кража,43.327,68.1995,1
2023-01-26,Шымкент,Шымкент,Кража,42.3783,69.5708,2
2023-01-26,Алматинская область,Талдыкорган,Кража,43.2497,76.8953,1
2023-01-26,Атырауская область,Атырау,Кража,47.1431,51.9827,1
2023-01-26,Павлодарская область,Павлодар,Грабёж,52.3135,76.9203,2
2023-01-26,Акмолинская область,Кокшетау,Разбой,51.2295,71.4823,4
2023-01-26,Алматы,Алматы,Кража,43.2158,76.8953,1
2023-01-27,Алматинская область,Талдыкорган,Мошенничество,43.1455,76.7586,2
2023-01-27,Западно-Казахстанская область,Уральск,Мошенничество,51.253,51.3627,2
2023-01-28,Восточно-Казахстанская область,Усть-Каменогорск,Разбой,49.9135,82.6556,4
2023-01-28,Алматы,Алматы,Другое,43.2506,76.8729,1
2023-01-28,Шымкент,Шымкент,Кража,42.2716,69.5401,2
2023-01-29,Кызылординская область,Кызылорда,Кража,44.8019,65.5782,1
2023-01-29,Северо-Казахстанская область,Петропавловск,Кража,54.8659,69.2225,2
2023-01-30,Астана,Астана,Разбой,51.2669,71.4825,3
2023-01-30,Актюбинская область,Актобе,Кража,50.3711,57.1474,2
2023-01-30,Кызылординская область,Кызылорда,Кража,44.8908,65.4755,2
2023-01-30,Шымкент,Шымкент,Грабёж,42.281,69.6162,3
2023-01-30,Астана,Астана,Грабёж,51.2668,71.3611,2
2023-01-30,Туркестанская область,Туркестан,Кража,43.324,68.2246,1
2023-02-01,Астана,Астана,Кража,51.0749,71.3608,1
2023-02-01,Астана,Астана,Грабёж,51.092,71.5232,3
2023-02-01,Алматы,Алматы,Грабёж,43.1952,76.7625,2
2023-02-01,Северо-Казахстанская область,Петропавловск,Кража,54.8779,69.1169,1
2023-02-01,Алматинская область,Талдыкорган,Грабёж,43.177,76.7854,3
2023-02-01,Астана,Астана,Кража,51.0812,71.4704,1
2023-02-02,Шымкент,Шымкент,Кража,42.4096,69.6667,1
2023-02-02,Астана,Астана,Грабёж,51.1365,71.5415,2
2023-02-02,Акмолинская область,Кокшетау,Кража,51.118,71.5401,2
2023-02-02,Актюбинская область,Актобе,Грабёж,50.1852,57.22,2
2023-02-02,Астана,Астана,Разбой,51.1526,71.494,3
2023-02-03,Шымкент,Шымкент,Мошенничество,42.3523,69.6562,2
2023-02-03,Алматы,Алматы,Разбой,43.3103,76.8362,3
2023-02-03,Алматы,Алматы,Кража,43.1599,76.8698,1
2023-02-03,Акмолинская область,Кокшетау,Кража,51.1009,71.4356,1
2023-02-04,Астана,Астана,Мошенничество,51.1767,71.5479,2
2023-02-04,Алматы,Алматы,Грабёж,43.2348,76.9158,3
2023-02-05,Алматы,Алматы,Мошенничество,43.2642,76.8517,2
2023-02-05,Астана,Астана,Грабёж,51.1768,71.3865,2
2023-02-05,Алматинская область,Талдыкорган,Кража,43.1651,76.9333,1
2023-02-05,Алматы,Алматы,Кража,43.2631,76.8386,1
2023-02-05,Астана,Астана,Грабёж,51.0909,71.4256,2
2023-02-05,Шымкент,Шымкент,Грабёж,42.2814,69.6263,2
2023-02-06,Туркестанская область,Туркестан,Кража,43.2479,68.2499,1
2023-02-06,Астана,Астана,Мошенничество,51.0872,71.4774,3
2023-02-07,Астана,Астана,Кража,51.1904,71.3578,1
2023-02-08,Актюбинская область,Актобе,Грабёж,50.2329,57.14,2
2023-02-08,Алматы,Алматы,Вымогательство,43.2437,76.7516,4
2023-02-08,Алматы,Алматы,Кража,43.1449,76.7706,2
2023-02-08,Алматинская область,Талдыкорган,Кража,43.3051,76.8772,2
2023-02-08,Жамбылская область,Тараз,Мошенничество,42.9312,71.3488,2
2023-02-09,Северо-Казахстанская область,Петропавловск,Кража,54.8812,69.2166,2
2023-02-09,Туркестанская область,Туркестан,Кража,43.2605,68.159,2
2023-02-10,Астана,Астана,Разбой,51.202,71.5022,4
2023-02-10,Алматинская область,Талдыкорган,Кража,43.1749,76.7533,1
2023-02-10,Алматы,Алматы,Разбой,43.2721,76.8103,4
2023-02-10,Карагандинская область,Караганда,Другое,49.7103,73.0645,1
2023-02-10,Астана,Астана,Кража,51.2012,71.4482,1
2023-02-11,Кызылординская область,Кызылорда,Вымогательство,44.8077,65.5596,3
2023-02-12,Алматы,Алматы,Разбой,43.1429,76.8649,4
2023-02-12,Алматинская область,Талдыкорган,Кража,43.1323,76.8898,1
2023-02-13,Жамбылская область,Тараз,Грабёж,42.9758,71.3015,2
2023-02-13,Жамбылская область,Тараз,Кража,42.9817,71.3684,2
2023-02-13,Астана,Астана,Грабёж,51.1268,71.4437,3
2023-02-13,Алматы,Алматы,Кража,43.1952,76.9403,2
2023-02-13,Алматы,Алматы,Кража,43.2355,76.7579,2
2023-02-14,Астана,Астана,Кража,51.1058,71.3949,1
2023-02-15,Актюбинская область,Актобе,Грабёж,50.3401,57.2157,2
2023-02-15,Павлодарская область,Павлодар,Грабёж,52.2734,77.0207,2
2023-02-15,Мангистауская область,Актау,Кража,43.7476,51.1128,1
2023-02-15,Алматы,Алматы,Кража,43.2669,76.8992,1
2023-02-15,Алматы,Алматы,Грабёж,43.1959,76.8996,3
2023-02-15,Акмолинская область,Кокшетау,Кража,51.0981,71.3536,1
2023-02-15,Костанайская область,Костанай,Кража,53.252,63.5366,2
2023-02-15,Карагандинская область,Караганда,Кража,49.7965,73.1925,1
2023-02-15,Павлодарская область,Павлодар,Кража,52.3147,77.0397,2
2023-02-16,Алматы,Алматы,Кража,43.2021,76.9355,2
2023-02-16,Астана,Астана,Разбой,51.211,71.469,4
2023-02-16,Атырауская область,Атырау,Разбой,47.0588,51.8573,4
2023-02-16,Шымкент,Шымкент,Кража,42.3853,69.5931,2
2023-02-17,Акмолинская область,Кокшетау,Кража,51.0917,71.4385,2
2023-02-17,Астана,Астана,Грабёж,51.1217,71.3662,3
2023-02-17,Астана,Астана,Кража,51.2005,71.5225,2
2023-02-17,Алматинская область,Талдыкорган,Кража,43.1844,76.7756,1
2023-02-17,Карагандинская область,Караганда,Кража,49.8075,73.1535,2
2023-02-18,Северо-Казахстанская область,Петропавловск,Грабёж,54.7781,69.1343,2
2023-02-18,Шымкент,Шымкент,Грабёж,42.3636,69.6214,2
2023-02-18,Астана,Астана,Кража,51.2624,71.4001,1
2023-02-18,Северо-Казахстанская область,Петропавловск,Кража,54.8037,69.2439,1
2023-02-18,Северо-Казахстанская область,Петропавловск,Кража,54.8235,69.1287,1
2023-02-18,Западно-Казахстанская область,Уральск,Кража,51.1889,51.3873,1
2023-02-19,Шымкент,Шымкент,Кража,42.3235,69.6412,2
2023-02-19,Алматы,Алматы,Грабёж,43.2365,76.8125,2
2023-02-19,Западно-Казахстанская область,Уральск,Мошенничество,51.1816,51.4675,2
2023-02-19,Туркестанская область,Туркестан,Разбой,43.3232,68.2299,4
2023-02-19,Карагандинская область,Караганда,Кража,49.7156,73.0334,1
2023-02-19,Карагандинская область,Караганда,Мошенничество,49.7156,73.1129,2
2023-02-20,Актюбинская область,Актобе,Мошенничество,50.2238,57.256,3
